New best performer mean: 0.6964, std: 0.07
	Metaepoch mean: 0.6149, std: 0.04
	Metaepoch max performer: 0.6964, min performer: 0.4136

New best performer mean: 0.7222, std: 0.06
	Metaepoch mean: 0.6562, std: 0.04
	Metaepoch max performer: 0.7222, min performer: 0.4266

	Metaepoch mean: 0.6624, std: 0.03
	Metaepoch max performer: 0.7146, min performer: 0.4016

	Metaepoch mean: 0.6615, std: 0.02
	Metaepoch max performer: 0.7090, min performer: 0.5282

	Metaepoch mean: 0.6650, std: 0.02
	Metaepoch max performer: 0.6986, min performer: 0.5710

	Metaepoch mean: 0.6803, std: 0.02
	Metaepoch max performer: 0.7150, min performer: 0.5652

New best performer mean: 0.7252, std: 0.05
	Metaepoch mean: 0.6854, std: 0.02
	Metaepoch max performer: 0.7252, min performer: 0.5022

	Metaepoch mean: 0.6798, std: 0.02
	Metaepoch max performer: 0.7176, min performer: 0.5766

New best performer mean: 0.7274, std: 0.06
	Metaepoch mean: 0.6947, std: 0.02
	Metaepoch max performer: 0.7274, min performer: 0.5814

New best performer mean: 0.7286, std: 0.05
	Metaepoch mean: 0.6955, std: 0.02
	Metaepoch max performer: 0.7286, min performer: 0.6056

	Metaepoch mean: 0.6727, std: 0.01
	Metaepoch max performer: 0.7016, min performer: 0.6176

	Metaepoch mean: 0.6854, std: 0.01
	Metaepoch max performer: 0.7128, min performer: 0.6086

	Metaepoch mean: 0.6842, std: 0.02
	Metaepoch max performer: 0.7190, min performer: 0.6018

	Metaepoch mean: 0.6947, std: 0.01
	Metaepoch max performer: 0.7234, min performer: 0.6276

New best performer mean: 0.7314, std: 0.05
	Metaepoch mean: 0.7022, std: 0.01
	Metaepoch max performer: 0.7314, min performer: 0.6374

	Metaepoch mean: 0.7039, std: 0.01
	Metaepoch max performer: 0.7282, min performer: 0.6560

	Metaepoch mean: 0.6869, std: 0.01
	Metaepoch max performer: 0.7104, min performer: 0.6200

	Metaepoch mean: 0.6912, std: 0.01
	Metaepoch max performer: 0.7166, min performer: 0.6216

New best performer mean: 0.7384, std: 0.04
	Metaepoch mean: 0.7004, std: 0.02
	Metaepoch max performer: 0.7384, min performer: 0.6090

	Metaepoch mean: 0.6941, std: 0.01
	Metaepoch max performer: 0.7168, min performer: 0.6242

	Metaepoch mean: 0.6908, std: 0.01
	Metaepoch max performer: 0.7196, min performer: 0.5990

	Metaepoch mean: 0.6822, std: 0.01
	Metaepoch max performer: 0.7064, min performer: 0.6316

	Metaepoch mean: 0.7001, std: 0.01
	Metaepoch max performer: 0.7272, min performer: 0.5952

	Metaepoch mean: 0.6847, std: 0.01
	Metaepoch max performer: 0.7128, min performer: 0.6248

	Metaepoch mean: 0.6882, std: 0.01
	Metaepoch max performer: 0.7144, min performer: 0.6276

	Metaepoch mean: 0.6842, std: 0.01
	Metaepoch max performer: 0.7102, min performer: 0.6286

	Metaepoch mean: 0.7066, std: 0.01
	Metaepoch max performer: 0.7308, min performer: 0.6474

	Metaepoch mean: 0.7009, std: 0.01
	Metaepoch max performer: 0.7334, min performer: 0.6642

	Metaepoch mean: 0.6961, std: 0.01
	Metaepoch max performer: 0.7252, min performer: 0.6550

	Metaepoch mean: 0.6909, std: 0.01
	Metaepoch max performer: 0.7156, min performer: 0.6264

	Metaepoch mean: 0.6868, std: 0.01
	Metaepoch max performer: 0.7110, min performer: 0.6258

	Metaepoch mean: 0.6999, std: 0.01
	Metaepoch max performer: 0.7228, min performer: 0.6238

	Metaepoch mean: 0.6977, std: 0.01
	Metaepoch max performer: 0.7242, min performer: 0.6378

	Metaepoch mean: 0.7065, std: 0.01
	Metaepoch max performer: 0.7336, min performer: 0.6596

	Metaepoch mean: 0.7043, std: 0.01
	Metaepoch max performer: 0.7330, min performer: 0.6520

	Metaepoch mean: 0.7062, std: 0.01
	Metaepoch max performer: 0.7330, min performer: 0.6432

	Metaepoch mean: 0.7082, std: 0.01
	Metaepoch max performer: 0.7318, min performer: 0.6446

	Metaepoch mean: 0.7045, std: 0.01
	Metaepoch max performer: 0.7278, min performer: 0.6488

	Metaepoch mean: 0.6765, std: 0.01
	Metaepoch max performer: 0.7018, min performer: 0.6338

	Metaepoch mean: 0.7001, std: 0.01
	Metaepoch max performer: 0.7284, min performer: 0.6478

	Metaepoch mean: 0.7061, std: 0.01
	Metaepoch max performer: 0.7310, min performer: 0.6664

New best performer mean: 0.7456, std: 0.04
	Metaepoch mean: 0.7125, std: 0.01
	Metaepoch max performer: 0.7456, min performer: 0.6570

	Metaepoch mean: 0.7077, std: 0.01
	Metaepoch max performer: 0.7328, min performer: 0.6316

	Metaepoch mean: 0.6970, std: 0.01
	Metaepoch max performer: 0.7220, min performer: 0.6272

	Metaepoch mean: 0.6957, std: 0.01
	Metaepoch max performer: 0.7194, min performer: 0.6560

	Metaepoch mean: 0.6925, std: 0.01
	Metaepoch max performer: 0.7204, min performer: 0.6586

	Metaepoch mean: 0.6850, std: 0.01
	Metaepoch max performer: 0.7106, min performer: 0.6392

	Metaepoch mean: 0.7070, std: 0.01
	Metaepoch max performer: 0.7328, min performer: 0.6450

	Metaepoch mean: 0.6970, std: 0.01
	Metaepoch max performer: 0.7216, min performer: 0.6446

	Metaepoch mean: 0.7012, std: 0.01
	Metaepoch max performer: 0.7268, min performer: 0.6402

	Metaepoch mean: 0.7009, std: 0.01
	Metaepoch max performer: 0.7264, min performer: 0.6572

	Metaepoch mean: 0.7020, std: 0.01
	Metaepoch max performer: 0.7280, min performer: 0.6376

	Metaepoch mean: 0.7066, std: 0.01
	Metaepoch max performer: 0.7302, min performer: 0.6478

	Metaepoch mean: 0.7001, std: 0.01
	Metaepoch max performer: 0.7246, min performer: 0.6504

	Metaepoch mean: 0.7051, std: 0.01
	Metaepoch max performer: 0.7316, min performer: 0.6616

	Metaepoch mean: 0.7092, std: 0.01
	Metaepoch max performer: 0.7320, min performer: 0.6652

	Metaepoch mean: 0.7050, std: 0.01
	Metaepoch max performer: 0.7278, min performer: 0.6582

	Metaepoch mean: 0.6869, std: 0.01
	Metaepoch max performer: 0.7086, min performer: 0.6148

	Metaepoch mean: 0.7045, std: 0.01
	Metaepoch max performer: 0.7294, min performer: 0.6646

	Metaepoch mean: 0.7075, std: 0.01
	Metaepoch max performer: 0.7322, min performer: 0.6346

	Metaepoch mean: 0.7083, std: 0.01
	Metaepoch max performer: 0.7316, min performer: 0.6504

	Metaepoch mean: 0.6906, std: 0.01
	Metaepoch max performer: 0.7220, min performer: 0.6414

	Metaepoch mean: 0.6935, std: 0.01
	Metaepoch max performer: 0.7178, min performer: 0.6476

	Metaepoch mean: 0.7167, std: 0.01
	Metaepoch max performer: 0.7380, min performer: 0.6614

	Metaepoch mean: 0.6944, std: 0.01
	Metaepoch max performer: 0.7214, min performer: 0.6322

	Metaepoch mean: 0.7127, std: 0.01
	Metaepoch max performer: 0.7372, min performer: 0.6620

	Metaepoch mean: 0.7045, std: 0.01
	Metaepoch max performer: 0.7300, min performer: 0.6456

	Metaepoch mean: 0.6927, std: 0.01
	Metaepoch max performer: 0.7174, min performer: 0.6570

	Metaepoch mean: 0.7048, std: 0.01
	Metaepoch max performer: 0.7330, min performer: 0.6662

	Metaepoch mean: 0.7137, std: 0.01
	Metaepoch max performer: 0.7320, min performer: 0.6536

	Metaepoch mean: 0.7033, std: 0.01
	Metaepoch max performer: 0.7290, min performer: 0.6618

	Metaepoch mean: 0.7116, std: 0.01
	Metaepoch max performer: 0.7378, min performer: 0.6484

	Metaepoch mean: 0.6992, std: 0.01
	Metaepoch max performer: 0.7262, min performer: 0.6382

	Metaepoch mean: 0.6948, std: 0.01
	Metaepoch max performer: 0.7234, min performer: 0.6444

	Metaepoch mean: 0.7024, std: 0.01
	Metaepoch max performer: 0.7274, min performer: 0.6596

	Metaepoch mean: 0.6986, std: 0.01
	Metaepoch max performer: 0.7238, min performer: 0.6502

	Metaepoch mean: 0.6846, std: 0.01
	Metaepoch max performer: 0.7074, min performer: 0.6436

	Metaepoch mean: 0.7040, std: 0.01
	Metaepoch max performer: 0.7328, min performer: 0.6604

	Metaepoch mean: 0.7033, std: 0.01
	Metaepoch max performer: 0.7262, min performer: 0.6574

New best performer mean: 0.7500, std: 0.04
	Metaepoch mean: 0.7280, std: 0.01
	Metaepoch max performer: 0.7500, min performer: 0.6514

	Metaepoch mean: 0.7041, std: 0.01
	Metaepoch max performer: 0.7252, min performer: 0.6264

	Metaepoch mean: 0.6991, std: 0.01
	Metaepoch max performer: 0.7232, min performer: 0.6510

	Metaepoch mean: 0.7099, std: 0.01
